word,type,definition,alpha
blazon,v., To make widely or generally known,b
bleak,adj., Desolate,b
blemish,n., A mark that mars beauty,b
blithe,adj., Joyous,b
blithesome,adj., Cheerful,b
blockade,n.," The shutting up of a town, a frontier, or a line of coast by hostile forces",b
bodice,n., A women's ornamental corset-shaped laced waist,b
bodily,adj., Corporeal,b
boisterous,adj., Unchecked merriment or animal spirits,b
bole,n., The trunk or body of a tree,b
boll,n.," A round pod or seed-capsule, as a flax or cotton",b
bolster,v.," To support, as something wrong",b
bomb,n., A hollow projectile containing an explosive material,b
bombard,v., To assail with any missile or with abusive speech,b
bombardier,n.," A person who has charge of mortars, bombs, and shells",b
bombast,n.," Inflated or extravagant language, especially on unimportant subjects",b
boorish,adj., Rude,b
bore,v., To weary by tediousness or dullness,b
borough,n., An incorporated village or town,b
botanical,adj., Connected with the study or cultivation of plants,b
botanize,v., To study plant-life,b
botany,n., The science that treats of plants,b
bountiful,adj., Showing abundance,b
bowler,n.," In cricket, the player who delivers the ball",b
boycott,v., To place the products or merchandise of under a ban,b
brae,n., Hillside,b
braggart,n., A vain boaster,b
brandish,v.," To wave, shake, or flourish triumphantly or defiantly, as a sword or spear",b
bravado,n., An aggressive display of boldness,b
bray,n.," A loud harsh sound, as the cry of an ass or the blast of a horn",b
braze,v., To make of or ornament with brass,b
brazier,n., An open pan or basin for holding live coals,b
breach,n.," The violation of official duty, lawful right, or a legal obligation",b
breaker,n.," One who trains horses, dogs, etc",b
breech,n., The buttocks,b
brethren,n., pl,b
brevity,n., Shortness of duration,b
bridle,n.," The head-harness of a horse consisting of a head-stall, a bit, and the reins",b
brigade,n., A body of troops consisting of two or more regiments,b
brigand,n., One who lives by robbery and plunder,b
brimstone,n., Sulfur,b
brine,n., Water saturated with salt,b
bristle,n.," One of the coarse, stiff hairs of swine: used in brush-making, etc",b
britannia,n., The United Kingdom of Great Britain,b
briticism,n.," A word, idiom, or phrase characteristic of Great Britain or the British",b
brittle,adj., Fragile,b
broach,v.," To mention, for the first time",b
broadcast,adj., Disseminated far and wide,b
brogan,n.," A coarse, heavy shoe",b
brogue,n.," Any dialectic pronunciation of English, especially that of the Irish people",b
brokerage,n., The business of making sales and purchases for a commission; a broker,b
bromine,n.," A dark reddish-brown, non-metallic liquid element with a suffocating odor",b
bronchitis,n., Inflammation of the bronchial tubes,b
bronchus,n., Either of the two subdivisions of the trachea conveying air into the lungs,b
brooch,n., An article of jewelry fastened by a hinged pin and hook on the underside,b
brotherhood,n., Spiritual or social fellowship or solidarity,b
brusque,adj., Somewhat rough or rude in manner or speech,b
buffoon,n., A clown,b
buffoonery,n.," Low drollery, coarse jokes, etc",b
bulbous,adj.," Of, or pertaining to, or like a bulb",b
bullock,n., An ox,b
bulrush,n., Any one of various tall rush-like plants growing in damp ground or water,b
bulwark,n., Anything that gives security or defense,b
bumptious,adj., Full of offensive and aggressive self-conceit,b
bungle,v., To execute clumsily,b
buoyancy,n., Power or tendency to float on or in a liquid or gas,b
buoyant,adj., Having the power or tendency to float or keep afloat,b
bureau,n.," A chest of drawers for clothing, etc",b
burgher,n.," An inhabitant, citizen or freeman of a borough burgh, or corporate town",b
burnish,v., To make brilliant or shining,b
bursar,n., A treasurer,b
bustle,v., To hurry,b
butt,v.," To strike with or as with the head, or horns",b
butte,n.," A conspicuous hill, low mountain, or natural turret, generally isolated",b
buttress,n., Any support or prop,b
cabalism,n., Superstitious devotion to one's religion,c
cadaverous,adj., Resembling a corpse,c
caitiff,adj., Cowardly,c
cajole,v., To impose on or dupe by flattering speech,c
cajolery,n., Delusive speech,c
calculable,adj., That may be estimated by reckoning,c
callosity,n., The state of being hard and insensible,c
callow,adj., Without experience of the world,c
calumny,n., Slander,c
calvary,n., The place where Christ was crucified,c
calvinism,n., The system of doctrine taught by John Calvin,c
calvinize,v., To teach or imbue with the doctrines of Calvinism,c
came,n., A leaden sash-bar or grooved strip for fastening panes in stained-glass windows,c
cameo,n., Any small engraved or carved work in relief,c
campaign,n., A complete series of connected military operations,c
canary,adj., Of a bright but delicate yellow,c
candid,adj., Straightforward,c
candor,n., The quality of frankness or outspokenness,c
canine,adj., Characteristic of a dog,c
canon,n., Any rule or law,c
cant,v.," To talk in a singsong, preaching tone with affected solemnity",c
cantata,n., A choral composition,c
canto,n., One of the divisions of an extended poem,c
cantonment,n., The part of the town or district in which the troops are quartered,c
capacious,adj., Roomy,c
capillary,n., A minute vessel having walls composed of a single layer of cells,c
capitulate,v., To surrender or stipulate terms,c
caprice,n., A whim,c
caption,n.," A heading, as of a chapter, section, document, etc",c
captious,adj., Hypercritical,c
captivate,v.," To fascinate, as by excellence",c
carcass,n., The dead body of an animal,c
cardiac,adj., Pertaining to the heart,c
cardinal,adj., Of prime or special importance,c
carnage,n., Massacre,c
carnal,adj., Sensual,c
carnivorous,adj., Eating or living on flesh,c
carouse,v., To drink deeply and in boisterous or jovial manner,c
carrion,n., Dead and putrefying flesh,c
cartilage,n., An elastic animal tissue of firm consistence,c
cartridge,n.," A charge for a firearm, or for blasting",c
caste,n., The division of society on artificial grounds,c
castigate,v., To punish,c
casual,adj.," Accidental, by chance",c
casualty,n., A fatal or serious accident or disaster,c
cataclysm,n., Any overwhelming flood of water,c
cataract,n., Opacity of the lens of the eye resulting in complete or partial blindness,c
catastrophe,n., Any great and sudden misfortune or calamity,c
cathode,n., The negative pole or electrode of a galvanic battery,c
catholicism,n.," The system, doctrine, and practice of the Roman Catholic Church",c
catholicity,n., Universal prevalence or acceptance,c
caucus,n., A private meeting of members of a political party to select candidates,c
causal,adj., Indicating or expressing a cause,c
caustic,adj., Sarcastic and severe,c
cauterize,v., To burn or sear as with a heated iron,c
cede,v., To pass title to,c
censor,n., An official examiner of manuscripts empowered to prohibit their publication,c
censorious,adj., Judging severely or harshly,c
census,n., An official numbering of the people of a country or district,c
centenary,adj., Pertaining to a hundred years or a period of a hundred years,c
centiliter,n., A hundredth of a liter,c
centimeter,n., A length of one hundredth of a meter,c
centurion,n., A captain of a company of one hundred infantry in the ancient Roman army,c
cereal,adj., Pertaining to edible grain or farinaceous seeds,c
ceremonial,adj., Characterized by outward form or ceremony,c
ceremonious,adj., Observant of ritual,c
cessation,n.," Discontinuance, as of action or motion",c
cession,n.," Surrender, as of possessions or rights",c
chagrin,n.," Keen vexation, annoyance, or mortification, as at one's failures or errors",c
chameleon,adj., Changeable in appearance,c
chancery,n.," A court of equity, as distinguished from a common-law court",c
characteristic,n., A distinctive feature,c
characterize,v., To describe by distinctive marks or peculiarities,c
charlatan,n., A quack,c
chasm,n.," A yawning hollow, as in the earth's surface",c
chasten,v., To purify by affliction,c
chastise,v., To subject to punitive measures,c
chastity,n., Sexual or moral purity,c
chateau,n., A castle or manor-house,c
chattel,n., Any article of personal property,c
check,v., To hold back,c
chiffon,n.," A very thin gauze used for trimmings, evening dress, etc",c
chivalry,n.," The knightly system of feudal times with its code, usages and practices",c
cholera,n., An acute epidemic disease,c
choleric,adj., Easily provoked to anger,c
choral,adj.," Pertaining to, intended for, or performed by a chorus or choir",c
christ,n., A title of Jesus ,c
christen,v., To name in baptism,c
christendom,n., That part of the world where Christianity is generally professed,c
chromatic,adj.," Belonging, relating to, or abounding in color",c
chronometer,n., A portable timekeeper of the highest attainable precision,c
cipher,v., To calculate arithmetically,c
circulate,v., To disseminate,c
circumference,n., The boundary-line of a circle,c
circumlocution,n., Indirect or roundabout expression,c
circumnavigate,v., To sail quite around,c
circumscribe,v., To confine within bounds,c
circumspect,adj.," Showing watchfulness, caution, or careful consideration",c
citadel,n., Any strong fortress,c
cite,v., To refer to specifically,c
claimant,n.," One who makes a claim or demand, as of right",c
clairvoyance,n., Intuitive sagacity or perception,c
clamorous,adj., Urgent in complaint or demand,c
clan,n., A tribe,c
clandestine,adj., Surreptitious,c
